rank,language,title,views,url
1,it,Pagina_principale,598,https://everythinginperspective.vercel.app/dictionary/it/Pagina_principale
2,ru,Заглавная_страница,435,https://everythinginperspective.vercel.app/dictionary/ru/Заглавная_страница
3,fr,t-shirt,337,https://everythinginperspective.vercel.app/dictionary/fr/t-shirt
4,ku,Destpêk,267,https://everythinginperspective.vercel.app/dictionary/ku/Destpêk
5,ta,முதற்_பக்கம்,256,https://everythinginperspective.vercel.app/dictionary/ta/முதற்_பக்கம்
6,pl,nyga,249,https://everythinginperspective.vercel.app/dictionary/pl/nyga
7,ky,disjunktiivinen,199,https://everythinginperspective.vercel.app/dictionary/ky/disjunktiivinen
8,da,Forside,183,https://everythinginperspective.vercel.app/dictionary/da/Forside
9,pt,sign,182,https://everythinginperspective.vercel.app/dictionary/pt/sign
10,es,curioso,177,https://everythinginperspective.vercel.app/dictionary/es/curioso
11,it,petnaest,164,https://everythinginperspective.vercel.app/dictionary/it/petnaest
12,tr,bulharština,154,https://everythinginperspective.vercel.app/dictionary/tr/bulharština
13,uk,Головна_сторінка,145,https://everythinginperspective.vercel.app/dictionary/uk/Головна_сторінка
14,sr,Главна_страна,144,https://everythinginperspective.vercel.app/dictionary/sr/Главна_страна
15,th,tested,137,https://everythinginperspective.vercel.app/dictionary/th/tested
16,el,hjälpa,132,https://everythinginperspective.vercel.app/dictionary/el/hjälpa
17,hi,मुखपृष्ठ,122,https://everythinginperspective.vercel.app/dictionary/hi/मुखपृष्ठ
18,pt,cale,118,https://everythinginperspective.vercel.app/dictionary/pt/cale
19,uz,Bosh_sahifa,116,https://everythinginperspective.vercel.app/dictionary/uz/Bosh_sahifa
20,vi,service,103,https://everythinginperspective.vercel.app/dictionary/vi/service
21,af,Tuisblad,98,https://everythinginperspective.vercel.app/dictionary/af/Tuisblad
22,io,Frontispico,96,https://everythinginperspective.vercel.app/dictionary/io/Frontispico
23,co,Pagina_maestra,92,https://everythinginperspective.vercel.app/dictionary/co/Pagina_maestra
24,hr,Glavna_stranica,90,https://everythinginperspective.vercel.app/dictionary/hr/Glavna_stranica
25,id,titik,89,https://everythinginperspective.vercel.app/dictionary/id/titik
26,sl,Glavna_stran,88,https://everythinginperspective.vercel.app/dictionary/sl/Glavna_stran
27,eu,Azala,87,https://everythinginperspective.vercel.app/dictionary/eu/Azala
28,sh,Glavna_stranica,87,https://everythinginperspective.vercel.app/dictionary/sh/Glavna_stranica
29,hy,Գլխավոր_էջ,86,https://everythinginperspective.vercel.app/dictionary/hy/Գլխավոր_էջ
30,na,Bwiema_peij,85,https://everythinginperspective.vercel.app/dictionary/na/Bwiema_peij
31,vi,lật_đổ,84,https://everythinginperspective.vercel.app/dictionary/vi/lật_đổ
32,cy,Hafan,83,https://everythinginperspective.vercel.app/dictionary/cy/Hafan
33,kn,ಮುಖ್ಯ_ಪುಟ,83,https://everythinginperspective.vercel.app/dictionary/kn/ಮುಖ್ಯ_ಪುಟ
34,te,మొదటి_పేజీ,81,https://everythinginperspective.vercel.app/dictionary/te/మొదటి_పేజీ
